id,parent_id,wbs,name,type,project_ref,department,owner,start,finish,duration_days,percent_complete,baseline_start,baseline_finish,constraint_type,constraint_date,source,notes
1,,1,Riverbank Apartments,project,2801,projects,Project Manager,2026-03-02,2027-02-26,260,46,2026-03-02,2027-01-29,,,pebblestone,Balustrades and privacy screens; 9 levels
2,1,1.1,Contract Award,phase,2801,projects,Project Manager,2026-03-02,2026-03-13,10,100,2026-03-02,2026-03-13,,,pebblestone,
3,2,1.1.1,Subcontract executed,milestone,2801,projects,Project Manager,2026-03-13,2026-03-13,0,100,2026-03-13,2026-03-13,must_finish_on,2026-03-13,builder_programme,Date set by the builder's award letter
4,1,1.2,Design,phase,2801,projects,Drafter,2026-03-16,2026-06-19,70,100,2026-03-16,2026-06-05,,,pebblestone,
5,4,1.2.1,Site measure levels 1-9,task,2801,projects,Drafter,2026-03-16,2026-03-27,10,100,2026-03-16,2026-03-27,,,pebblestone,
6,4,1.2.2,Shop drawings - balustrades,task,2801,projects,Drafter,2026-03-30,2026-05-08,30,100,2026-03-30,2026-04-24,,,pebblestone,
7,4,1.2.3,Builder approval - balustrades,task,2801,projects,Builder,2026-05-11,2026-06-05,20,100,2026-04-27,2026-05-22,,,pebblestone,Approval turnaround ran 10 days over
8,4,1.2.4,Engineering certification (Form 15),task,2801,projects,Engineer,2026-06-08,2026-06-19,10,100,2026-05-25,2026-06-05,,,pebblestone,
9,4,1.2.5,Drawings approved for construction,milestone,2801,projects,Project Manager,2026-06-19,2026-06-19,0,100,2026-06-05,2026-06-05,,,pebblestone,Gate: fabrication cannot start before this
10,1,1.3,Procurement,phase,2801,projects,Project Manager,2026-06-22,2026-09-04,55,72,2026-06-08,2026-08-21,,,pebblestone,
11,10,1.3.1,Purchase order - aluminium extrusion,task,2801,projects,Project Manager,2026-06-22,2026-06-26,5,100,2026-06-08,2026-06-12,,,pebblestone,
12,10,1.3.2,Extrusion mill run (long lead),task,2801,projects,Alloy Extrusions,2026-06-29,2026-08-07,30,100,2026-06-15,2026-07-24,,,pebblestone,
13,10,1.3.3,Powder coat - batch 1,task,2801,projects,Coatings Supplier,2026-08-10,2026-08-21,10,80,2026-07-27,2026-08-07,,,pebblestone,
14,10,1.3.4,Glass order - balustrade panels,task,2801,projects,Glass Supplier,2026-07-06,2026-09-04,45,55,2026-06-22,2026-08-21,,,pebblestone,
15,10,1.3.5,Material on site - levels 1-3,milestone,2801,projects,Project Manager,2026-08-21,2026-08-21,0,0,2026-08-07,2026-08-07,,,pebblestone,Gate: install cannot start before this
16,1,1.4,Fabrication,phase,2801,fabrication,Workshop Crew,2026-08-10,2026-11-27,80,18,2026-07-27,2026-11-13,,,pebblestone,
17,16,1.4.1,Fabricate balustrade panels L1-L3,task,2801,fabrication,Workshop Crew,2026-08-10,2026-09-04,20,45,2026-07-27,2026-08-21,,,pebblestone,
18,16,1.4.2,Fabricate balustrade panels L4-L6,task,2801,fabrication,Workshop Crew,2026-09-07,2026-10-02,20,0,2026-08-24,2026-09-18,,,pebblestone,
19,16,1.4.3,Fabricate privacy screens L1-L9,task,2801,fabrication,Workshop Crew,2026-10-05,2026-11-27,40,0,2026-09-21,2026-11-13,,,pebblestone,
20,1,1.5,Installation,phase,2801,construction,Install Crew A,2026-08-24,2027-02-12,125,4,2026-08-10,2027-01-15,,,pebblestone,
21,20,1.5.1,Site access - levels 1-3,milestone,2801,construction,Builder,2026-08-24,2026-08-24,0,100,2026-08-10,2026-08-10,start_no_earlier_than,2026-08-24,builder_programme,Builder-controlled; slipped 2 weeks
22,20,1.5.2,Install balustrades L1-L3,task,2801,construction,Install Crew A,2026-08-24,2026-09-25,25,12,2026-08-10,2026-09-11,,,pebblestone,Expanded into the look-ahead sample
23,20,1.5.3,Install balustrades L4-L6,task,2801,construction,Install Crew A,2026-09-28,2026-10-30,25,0,2026-09-14,2026-10-16,,,pebblestone,
24,20,1.5.4,Install privacy screens L1-L9,task,2801,construction,Install Crew B,2026-11-02,2027-02-12,75,0,2026-10-19,2027-01-15,,,pebblestone,
25,1,1.6,Closeout,phase,2801,projects,Project Manager,2027-02-15,2027-02-26,10,0,2027-01-18,2027-01-29,,,pebblestone,
26,25,1.6.1,Defects and handover documentation,task,2801,projects,Project Manager,2027-02-15,2027-02-26,10,0,2027-01-18,2027-01-29,,,pebblestone,
27,25,1.6.2,Practical completion,milestone,2801,projects,Builder,2027-02-26,2027-02-26,0,0,2027-01-29,2027-01-29,must_finish_on,2027-02-26,builder_programme,Liquidated damages attach to this date
28,,2,Civic Health Precinct,project,2814,projects,Project Manager,2026-05-04,2027-04-30,260,32,2026-05-04,2027-04-30,,,pebblestone,Louvre screens and sunhoods
29,28,2.1,Design,phase,2814,projects,Drafter,2026-05-04,2026-08-14,75,100,2026-05-04,2026-08-14,,,pebblestone,
30,29,2.1.1,Shop drawings - louvre screens,task,2814,projects,Drafter,2026-05-04,2026-07-03,45,100,2026-05-04,2026-07-03,,,pebblestone,
