id,predecessor_id,successor_id,type,lag_days,notes
1,3,5,FS,0,Site measure follows award
2,5,6,FS,0,
3,6,7,FS,0,Shop drawings out for builder approval
4,7,8,FS,0,
5,8,9,FS,0,
6,9,11,FS,0,Cannot order material until drawings are approved for construction
7,11,12,FS,0,
8,12,13,FS,0,Powder coat follows the mill run
9,13,15,FS,0,
10,14,15,FS,0,Glass must also land before the material-on-site gate
11,9,17,FS,0,Fabrication gated on approved drawings
12,13,17,SS,5,Fabrication can start once the first coated batch lands
13,17,18,FS,0,
14,18,19,FS,0,
15,15,22,FS,0,Install gated on material on site
16,21,22,FS,0,Install gated on builder site access
17,17,22,FS,3,Install trails fabrication of the same zone
18,22,23,FS,0,
19,23,24,FS,0,
20,24,26,FS,0,
21,26,27,FS,0,
22,30,31,FS,0,
23,31,33,FS,0,
24,33,34,FS,0,
25,34,35,FS,0,
26,35,36,SS,10,Install starts once the first fabricated batch is ready
